id,name,maintenance_responsibility,installed,material,length,number_of_steps,schools_count,school_score,total_population,transit_rider_count,transit_score,detour_score,overall_score,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1481700940,Rutherford Ave from Goldstrom Ave to Hampshire Ave,5th Division,1951-01-01,Concrete,313.0,54.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Rutherford_Ave_from_Goldstrom_Ave_to_Hampshire_Ave.jpg,Beechview,4.0,19,42003191600,5,19,6,4-28,40.41098261,-80.02663674
1929577586,Rutherford Ave from Hampshire Ave East,5th Division,1951-01-01,Concrete,285.0,45.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Rutherford_Ave_from_Hampshire_Ave_East.jpg,Beechview,4.0,19,42003191600,5,19,6,4-28,40.41095176,-80.02650308
1921581668,Rutledge St from Edith St to Orlena Way North,5th Division,,Asphalt/Wood,124.0,11.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Rutledge_St_from_Edith_St_to_Orlena_Way_North.jpg,Duquesne Heights,2.0,19,42003191100,5,19,3,4-1,40.43942771,-80.02301218
1483406616,Rutledge St from Edith St to Orlena Way South,5th Division,,Asphalt/Wood,120.0,14.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Rutledge_St_from_Edith_St_to_Orlena_Way_South.jpg,Duquesne Heights,2.0,19,42003191100,5,19,3,4-1,40.4393688,-80.02310598
2114935374,Rutledge St from Orlena Way to Augusta St,5th Division,,Asphalt/Wood,100.0,20.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Rutledge_St_from_Orlena_Way_to_Augusta_St.jpg,Duquesne Heights,2.0,19,42003191100,5,19,3,4-1,40.43924398,-80.02262459999999
1899799222,Rutledge St from Orlena Way to Augusta St South,5th Division,,Brick/Asphalt,110.0,19.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Rutledge_St_from_Orlena_Way_to_Augusta_St_South.jpg,Duquesne Heights,2.0,19,42003191100,5,19,3,4-1,40.43914984,-80.02270134
2063548167,Ryan St from S Main St to Steuben St,5th Division,1941-01-01,Concrete,104.0,48.0,1.0,7.0,498.0,166.0,9.0,8.0,10.0,https://tools.wprdc.org/images/pittsburgh/steps/Ryan_St_from_S_Main_St_to_Steuben_St.jpg,West End,2.0,20,42003562600,5,20,6,1-17,40.4409935,-80.03704512
1460782599,Brosville Rd from Welsh Way and S 12th St to Pius St,DOMI - Signs and Markings,,Concrete,279.0,42.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Brosville_Rd_from_Welsh_Way_and_S_12th_St_to_Pius_St.jpg,South Side Slopes,3.0,17,42003170600,3,17,3,4-3,40.42522483,-79.98517019
1922839309,S 15th St from Clinton St,4th Division,,Concrete,0.0,120.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/S_15th_St_from_Clinton_St.jpg,South Side Slopes,3.0,17,42003170600,3,17,3,4-24,40.42535687,-79.98357607
11588658,S 15th St from Clinton St to Pius St,4th Division,,Concrete,100.0,32.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/S_15th_St_from_Clinton_St_to_Pius_St.jpg,South Side Slopes,3.0,17,42003170600,3,17,3,4-3,40.42490155,-79.98372889
115193365,S 18th St and Mission St to S 21st,4th Division,,Concrete,153.0,102.0,0.0,100.0,660.0,114.0,5.0,1.0,7.0,https://tools.wprdc.org/images/pittsburgh/steps/S_18th_St_and_Mission_St_to_S_21st.jpg,South Side Slopes,3.0,17,42003160800,3,17,3,4-24,40.42367934,-79.97728288
962230844,S 18th St at Jospehine St to S 18th St,4th Division,,Concrete,250.0,61.0,0.0,100.0,854.0,207.0,7.0,1.0,8.0,https://tools.wprdc.org/images/pittsburgh/steps/S_18th_St_at_Jospehine_St_to_S_18th_St.jpg,South Side Slopes,3.0,17,42003170600,3,17,3,4-24,40.42474326,-79.97961347
